geoid,incomeclass,type,own,hh,mwh,hh_med_income,hh_gini_index,hu_rnt,hu_blt2010,pop_total,lihtc_qualified
53033021300,verylow,mf,own,5,58.74040770000001,67438,0.51,0.6638506002667852,0,4026,False
53033022003,verylow,mf,own,5,63.263166299999995,75662,0.3843,0.5415506958250497,0.011530815109343936,5038,False
53033022606,verylow,mf,own,3,18.4764738,104072,0.3786,0.5308924485125858,0,5981,False
53033022702,verylow,mf,own,3,56.2432755,123221,0.4581,0.5542857142857143,0.005714285714285714,3827,False
53033022703,verylow,mf,own,0,0,101250,0.4291,0.5745909528392685,0,2273,False
53033022901,verylow,mf,own,0,0,123e3,0.3720000000000001,0.6108468125594672,0.007611798287345386,2918,False
53033023201,verylow,mf,own,10,123.1576579,78119,0.3866,0.9239108612728367,0,6449,False
53033023202,verylow,mf,own,13,148.69636540000002,46719,0.4481,0.901200111638292,0,4698,False
53033023803,verylow,mf,own,7,168.57099329999997,96975,0.4164,0.9668888411094388,0.08944313050956783,5036,False
53033023804,verylow,mf,own,22,199.1241,89479,0.4705,0.8865777080062794,0.12656985871271587,6161,False
53033025500,verylow,mf,own,4,49.047152,57246,0.3572,0.8020499679692504,0,5020,False
53033025803,verylow,mf,own,5,50.6414726,50750,0.3309,0.7984779299847793,0.00426179604261796,5039,True
53033026700,verylow,mf,own,6,26.100126100000004,65660,0.4678,0.6437149719775821,0.007606084867894315,5056,False
53033026801,verylow,mf,own,18,90.3100288,36505,0.4585,0.8593394077448747,0.008826879271070615,5530,True
53033026802,verylow,mf,own,1,34.2977031,41875,0.4324,0.81344,0.03264,4932,True
53033027000,verylow,mf,own,4,15.295782399999998,59417,0.3936,0.7073036792970895,0.003844041735310269,3552,False
53033027300,verylow,mf,own,11,54.7717715,49023,0.3469,0.830689083589865,0,6205,True
53033000100,verylow,mf,own,22,358.54850940000006,44951,0.5406,0.8557262298269492,0.06591483569900836,6918,True
53033000200,verylow,mf,own,15,205.3027198,56208,0.4115,0.7260760551608859,0.030296698704554953,7974,False
53033000300,verylow,mf,own,2,63.4933273,64297,0.4806,0.749531542785759,0,2637,False
53033000401,verylow,mf,own,30,372.5544478,32472,0.4875,0.8528269313767803,0.05179110919292188,5907,True
53033000402,verylow,mf,own,9,179.83185009999997,62726,0.4951,0.7177914110429447,0,4906,False
53033000500,verylow,mf,own,5,59.83375040000001,125400,0.3939,0.12269272529858849,0,3044,False
53033000600,verylow,mf,own,10,156.87578950000002,60131,0.3974,0.738774653797734,0.011959714645404951,7674,False
53033000700,verylow,mf,own,6,119.0778406,51741,0.4303,0.7621893677256999,0,4892,False
53033000800,verylow,mf,own,4,55.951499,87222,0.4161,0.5379688929551693,0,2487,False
53033000900,verylow,mf,own,1,6.271471599999999,125109,0.433,0.5155350978135789,0,1971,False
53033001000,verylow,mf,own,0,29.0235794,69643,0.4346,0.8034188034188035,0,2094,False
