geoid,hu,hh_med_income,hh_gini_index,hu_rnt,hu_blt2010,pop_total,lihtc_qualified,MWh/hh_low_mf_own,MWh_low_mf_rnt,MWh_high_sf_own,hu_med_val,edu,citizen,black,sol_instl
53033002400,1405,103917,0.4004,0.5572953736654804,0,2994,FALSE,15.356342299999998,779.2618175,2733.250961,470600,0.6877087508350034,0.03507014028056112,0.0056780227120908485,6.405693950177936
53033003800,980,96310,0.4514,0.5795918367346938,0.004081632653061225,2165,FALSE,16.625545674999998,716.7108134,1675.322589,543100,0.6041570438799077,0.04480369515011547,0.02678983833718245,9.183673469387756
53033007402,4535,41842,0.4576,0.8560088202866594,0.006835722160970232,5210,TRUE,4.897175005797101,2281.7070508,470.7780625,281300,0.7309021113243762,0.10095969289827256,0.0600767754318618,0.44101433296582143
53033009e3,2586,44571,0.4827,0.843000773395205,0.030162412993039442,3478,TRUE,7.67669503939394,1951.2717344,1063.512625,302100,0.5077630822311673,0.1503737780333525,0.22024151811385853,0.7733952049497294
53033009800,3495,71705,0.413,0.5713876967095851,0.015736766809728183,6902,FALSE,6.492779051612903,1563.1006368,5803.2245,459700,0.6359026369168357,0.055201390901188065,0.011590843233845263,5.436337625178827
53033011402,3203,47701,0.4386,0.8317202622541368,0.010302841086481423,4405,FALSE,6.43395648888889,1304.7207501,1635.421875,251700,0.46242905788876276,0.14506242905788877,0.14687854710556186,0.9366219169528568
53033009600,3311,77808,0.4511,0.681667170039263,0.019329507701600725,5342,FALSE,17.091870997142856,2588.7000679,5197.614952,621100,0.7083489329839011,0.06046424560089854,0.04062149007862224,5.738447598912715
53033010200,2101,84324,0.4651,0.47310804378867205,0,4569,FALSE,14.669886256521739,1346.2453408000001,3508.283816,445000,0.6154519588531407,0.04464871963230466,0.1175311884438608,14.754878629224178
53033010300,3854,57750,0.43,0.730669434353918,0.017125064867669952,6371,FALSE,5.414532473584906,1619.2959395,2596.43,356900,0.5118505729084916,0.1588447653429603,0.23261654371370272,10.119356512714063
53033010401,1763,60682,0.4136,0.6080544526375496,0.0045377197958026095,4711,FALSE,5.584205905555556,537.2802832,2242.73425,347400,0.3903629802589684,0.14689025684568033,0.11950753555508385,6.239364719228588
53033011001,3547,29286,0.5214,0.89314914011841,0.0053566394135889485,4932,TRUE,5.232811561764706,1196.438081,1470.0095,290600,0.30008110300081103,0.15044606650446066,0.3497566909975669,1.40964195094446
53033011102,2684,61901,0.4421,0.7615499254843517,0.013412816691505217,4681,FALSE,17.982566475,1781.4074661,1843.494952,437400,0.3853877376628925,0.206579790643025,0.11001922666096987,3.7257824143070044
53033011500,2209,75123,0.3961,0.54277953825260294,0,4252,FALSE,4.016765192857143,560.5975887,3241.8545,350500,0.5844308560677328,0.062323612417685796,0.04609595484477893,4.979628791308285
53033011800,5270,38846,0.517,0.822201138519924,0.015939278937381403,8010,TRUE,12.97181775,4694.3794679,2247.660018,344900,0.3364544319600499,0.19637952559300875,0.3355805243445693,2.656546489563567
53033012100,1056,110060,0.4242,0.3418560606060606,0.006628787878787879,2853,FALSE,4.537849125,137.9666106,3714.65825,429300,0.6600070101647388,0.030494216614090432,0.01717490361023484,15.151515151515152
53033000100,5143,44951,0.5406,0.8557262298269492,0.06591483569900836,6918,TRUE,11.773473924675326,5811.692813,3601.351587,410700,0.5257299797629372,0.09251228678808904,0.12257877999421798,1.74995139023916
53033000200,4786,56208,0.4115,0.7260760551608859,0.030296698704554953,7974,FALSE,13.062118672727273,4124.763337,3593.544638,342400,0.5737396538750941,0.15023827439177326,0.07963380988211688,1.4625992478061012
53033000300,1601,64297,0.4806,0.749531542785759,0,2637,FALSE,13.325398575,1250.1247859999999,1604.634979,336300,0.5009480470231323,0.05536594615092909,0.04512703830109974,7.495315427857589
53033000401,4634,32472,0.4875,0.8528269313767803,0.05179110919292188,5907,TRUE,14.234583580882353,6666.283765,1796.297816,291400,0.553072625698324,0.09988149652954122,0.16979854410022008,0.6473888649115235
53033000402,2934,62726,0.4951,0.7177914110429447,0,4906,FALSE,15.033387425,2747.2928746,2798.870308,405400,0.6600081532816959,0.03852425601304525,0.08316347329800244,2.3858214042263124
53033000500,921,125400,0.3939,0.12269272529858849,0,3044,FALSE,10.86667543076923,698.0568772,3274.503924,568400,0.7132063074901446,0.014126149802890934,0.010512483574244415,14.115092290988056
53033000600,4766,60131,0.3974,0.738774653797734,0.011959714645404951,7674,FALSE,13.793028784313725,4118.0356911,3904.140701,365000,0.547302580140735,0.07297367735209799,0.06828251237946312,1.8883759966428872
53033000700,3179,51741,0.4303,0.7621893677256999,0,4892,FALSE,16.958348205714287,2867.873103,2528.550465,323700,0.5410874897792314,0.1259198691741619,0.08871627146361406,0.9436929852154766
53033000800,1093,87222,0.4161,0.5379688929551693,0,2487,FALSE,11.786885128571429,781.957918,2290.174168,419900,0.6622436670687576,0.0365902694008846,0.009650180940892641,4.574565416285453
53033000900,869,125109,0.433,0.5155350978135789,0,1971,FALSE,12.910138983333333,485.4196592,2318.656258,628400,0.7006595636732623,0.046169457128361235,0.008625063419583967,16.11047180667434
53033001e3,1404,69643,0.4346,0.8034188034188035,0,2094,FALSE,23.476392325,830.2282307,1086.758245,415500,0.555396370582617,0.15377268385864373,0.23113658070678128,2.849002849002849
53033001100,1341,64549,0.4275,0.6144668158090977,0.006711409395973154,2669,FALSE,9.43703594,1099.2165698,1701.958762,395500,0.6200824278756089,0.07568377669539153,0.04421131509928812,5.965697240865025
