Class,CompletedDate,Latitude,Longitude,Installer
Single family,2017-08-03,47.68188166,-122.39058235,PUGETSOUNDSOLAR
Single family,2010-03-19,47.63218307,-122.2902079,LANDER ELECTRIC SERVICE LLC
Single family,2013-07-22,47.52812882,-122.35388829,NA
Single family,2014-08-28,47.67081978,-122.27549957,PUGETSOUNDSOLAR
Single family,2014-09-11,47.68165997,-122.35242999,NORTHWEST ELECTRIC & SOLAR LLC
Single family,2015-05-05,47.67012309,-122.36438693,PUGETSOUNDSOLAR
Single family,2014-11-26,47.70380376,-122.3499024,PUGETSOUNDSOLAR
Single family,2012-08-23,47.6996417,-122.3155959,NA
Single family,2015-02-09,47.69238894,-122.31572014,EARL CHILDS
Single family,2015-03-02,47.5768307,-122.39249233,PUGETSOUNDSOLAR
Single family,2006-03-14,47.62534019,-122.28862917,E & F ELECTRIC INCORPORATED
Single family,2013-04-02,47.70269767,-122.34968956,PUGETSOUNDSOLAR
Single family,2017-01-12,47.56724665,-122.39048569,WEST SEATTLE ELECTRIC & SOLAR
Single family,2013-12-30,47.65477014,-122.34330195,NORTHWEST ELECTRIC & SOLAR LLC
Multifamily,2018-01-31,47.6170648,-122.32530963,S T S REMODELING CORP
Single family,2015-03-30,47.63914859,-122.28455008,PUGETSOUNDSOLAR
Single family,2006-05-22,47.7065363,-122.27674937,ALCO ELECTRIC LLC
Single family,2014-11-03,47.6668823,-122.32529327,A&R SOLAR
Single family,2011-11-22,47.65139695,-122.27675177,AEM ELECTRIC & AUDIO/VIDEO LLC
Single family,2016-05-31,47.68783039,-122.33941518,PUGETSOUNDSOLAR
Single family,2017-11-09,47.67051217,-122.27774751,PUGETSOUNDSOLAR
Single family,2015-08-19,47.68496811,-122.34848255,PUGETSOUNDSOLAR
Single family,2014-11-20,47.52587512,-122.35093158,ARTISAN ELECTRIC INC
Single family,2017-12-06,47.67081542,-122.29824932,SOLTERRA GLOBAL LLC
Single family,2014-10-21,47.56346673,-122.40124396,EARL CHILDS
Single family,2015-02-12,47.54614312,-122.35741483,PUGETSOUNDSOLAR
Single family,2014-01-23,47.5686557,-122.28535087,ARTISAN ELECTRIC INC
Single family,2013-04-02,47.68711573,-122.35727055,PUGETSOUNDSOLAR
Single family,2016-12-14,47.68421368,-122.36195354,PUGETSOUNDSOLAR
Single family,2004-03-29,47.6903657,-122.27567059,MIKE THE ELECTRICIAN LLC
Single family,2013-06-24,47.6593204,-122.33119435,PUGETSOUNDSOLAR
Single family,2009-01-09,47.69508127,-122.31333736,PUGETSOUNDSOLAR
Single family,2015-02-23,47.56340314,-122.29188777,PUGETSOUNDSOLAR
Single family,2012-07-17,47.67235423,-122.28152713,PUGETSOUNDSOLAR
Single family,2012-05-15,47.56234459,-122.29215868,PUGETSOUNDSOLAR
Multifamily,2015-11-12,47.62301248,-122.32338565,A E SERVICES INCORPORATED
Single family,2015-04-02,47.57447796,-122.38703494,PUGETSOUNDSOLAR
Single family,2014-02-25,47.55897168,-122.29060982,PUGETSOUNDSOLAR
Single family,2015-02-03,47.57781276,-122.40301871,PUGETSOUNDSOLAR
Single family,2009-05-05,47.65882399,-122.40333698,PUGETSOUNDSOLAR
Single family,2016-04-14,47.67534389,-122.31115146,PUGETSOUNDSOLAR
Single family,2013-07-29,47.71652183,-122.37198053,PUGETSOUNDSOLAR
Single family,2016-04-06,47.53579519,-122.2684199,ALT ELECTRIC LLC
Single family,2014-02-27,47.53076345,-122.35314016,WEST SEATTLE ELECTRIC & SOLAR
Single family,2013-08-08,47.69516825,-122.3694349,PUGETSOUNDSOLAR
Single family,2017-03-08,47.63605427,-122.40082289,PUGETSOUNDSOLAR
Single family,2015-05-26,47.54200588,-122.35636208,PUGETSOUNDSOLAR
Single family,2014-09-10,47.566952,-122.27353326,EARL CHILDS
Single family,2010-06-23,47.56648941,-122.40608003,PEAK ELECTRIC INC
Single family,2016-08-16,47.66613406,-122.27301321,PUGETSOUNDSOLAR
Single family,2018-03-20,47.66741107,-122.33436922,PUGETSOUNDSOLAR
Single family,2013-12-12,47.59045093,-122.2926156,ARTISAN ELECTRIC INC
Single family,2015-08-03,47.5640134,-122.29209149,PUGETSOUNDSOLAR
Single family,2014-06-10,47.66358916,-122.29241592,ARTISAN ELECTRIC INC
Single family,2015-05-15,47.63201398,-122.39334277,JMS ELECTRIC LLC
Single family,2014-02-27,47.56307651,-122.29257692,PUGETSOUNDSOLAR
Single family,2009-05-05,47.70799868,-122.29908332,PUGETSOUNDSOLAR
Single family,2014-02-10,47.54141116,-122.26615433,ARTISAN ELECTRIC INC
Multifamily,2012-08-21,47.64976756,-122.38307616,PUGETSOUNDSOLAR
Single family,2014-05-30,47.65344453,-122.37265011,PUGETSOUNDSOLAR
Single family,2015-08-31,47.70675492,-122.36046846,FORECAST ROOFING & SOLAR
Single family,2015-06-11,47.72684403,-122.37170802,PUGETSOUNDSOLAR
Single family,2017-12-14,47.68342624,-122.4001359,SOLTERRA GLOBAL LLC
Multifamily,2012-05-10,47.614975,-122.32109221,A&R SOLAR
Single family,2016-11-22,47.67217628,-122.37767642,"SMART ENERGY TODAY, INC"
Single family,2017-08-11,47.69838652,-122.39740502,PUGETSOUNDSOLAR
Single family,2017-06-12,47.65838547,-122.32760269,SOLTERRA GLOBAL LLC
Single family,2009-09-22,47.57516096,-122.39710672,PUGETSOUNDSOLAR
Single family,2014-03-10,47.56426005,-122.29214721,PUGETSOUNDSOLAR
Single family,2014-11-12,47.52586903,-122.38374853,EARL CHILDS
Single family,2006-10-16,47.67679601,-122.35770945,AMC ELECTRIC
Single family,2017-09-27,47.59463108,-122.29607561,NORTHWEST ELECTRIC & SOLAR LLC
Single family,2014-08-11,47.709164,-122.27594055,RELIANT ELECTRIC
Single family,2012-11-05,47.53602126,-122.37867126,WEST SEATTLE ELECTRIC & SOLAR
Single family,2013-07-19,47.65925046,-122.31462925,NORTHWEST ELECTRIC & SOLAR LLC
Single family,2014-04-04,47.73212693,-122.28807391,EARL CHILDS
Single family,2014-05-15,47.59331309,-122.29991283,PUGETSOUNDSOLAR
Single family,2010-09-13,47.59820832,-122.29846565,PUGETSOUNDSOLAR
Single family,2016-06-22,47.49691395,-122.37555333,PUGETSOUNDSOLAR
Single family,2009-10-01,47.64094533,-122.35791496,PUGETSOUNDSOLAR
Single family,2015-09-22,47.58159696,-122.29378724,NA
Single family,2016-06-22,47.70799868,-122.29908332,PUGETSOUNDSOLAR
Single family,2017-12-08,47.60037681,-122.29415235,NORTHWEST ELECTRICAL & SVC INC
Single family,2014-10-09,47.61054661,-122.29407299,A&R SOLAR
Single family,2014-10-16,47.53145129,-122.34652241,PUGETSOUNDSOLAR
Single family,2018-01-08,47.69135318,-122.33544528,SPIRE ELECTRICAL SERVICES LLC
Single family,2014-02-13,47.55175578,-122.27871498,PUGETSOUNDSOLAR
Single family,2012-11-14,47.70102746,-122.37956493,EARL CHILDS
Single family,2016-01-13,47.62772363,-122.28585086,PUGETSOUNDSOLAR
Single family,2016-03-09,47.5597176,-122.28923861,ALT ELECTRIC LLC
Single family,2013-11-26,47.60329349,-122.29628096,ARTISAN ELECTRIC INC
Single family,2013-07-30,47.66766233,-122.35905533,PUGETSOUNDSOLAR
Single family,2014-01-29,47.64046092,-122.29964707,ARTISAN ELECTRIC INC
Single family,2015-04-27,47.53145129,-122.34652241,PUGETSOUNDSOLAR
Single family,2016-11-14,47.62702625,-122.35463286,NORTHWEST ELECTRIC & SOLAR LLC
Single family,2018-04-19,47.68316928,-122.34661711,PUGETSOUNDSOLAR
Single family,2014-12-08,47.56491017,-122.29774225,PUGETSOUNDSOLAR
Single family,2011-11-29,47.64576669,-122.38442621,PUGETSOUNDSOLAR
Single family,2013-11-19,47.56777118,-122.28102449,ARTISAN ELECTRIC INC
Single family,2014-12-11,47.70710878,-122.28847993,WEST SEATTLE ELECTRIC & SOLAR
Single family,2015-04-23,47.6744658,-122.29612914,PUGETSOUNDSOLAR
Single family,2015-01-21,47.67110028,-122.36773293,ARTISAN ELECTRIC INC
Single family,2017-01-19,47.64894362,-122.37381789,PUGETSOUNDSOLAR
Single family,2014-12-26,47.55355662,-122.27726778,PUGETSOUNDSOLAR
Single family,2013-06-20,47.69155096,-122.36560744,PUGETSOUNDSOLAR
Single family,2015-09-10,47.58159696,-122.29378724,PUGETSOUNDSOLAR
Single family,2014-10-02,47.51824955,-122.26539524,ARTISAN ELECTRIC INC
Single family,2010-08-02,47.56472568,-122.27233801,PUGETSOUNDSOLAR
Single family,2013-09-10,47.67004461,-122.39657767,PUGETSOUNDSOLAR
Single family,2014-02-26,47.58400877,-122.30847711,PUGETSOUNDSOLAR
Single family,2017-08-31,47.51069908,-122.25869942,PUGETSOUNDSOLAR
Single family,2013-05-14,47.68793175,-122.39924013,PUGETSOUNDSOLAR
Single family,2017-05-04,47.65469744,-122.33658241,SOLTERRA GLOBAL LLC
Single family,2009-05-28,47.65361957,-122.33299428,PUGETSOUNDSOLAR
Single family,2014-02-10,47.62580318,-122.31034664,ARTISAN ELECTRIC INC
Single family,2013-11-07,47.66751064,-122.40884297,PUGETSOUNDSOLAR
Single family,2013-07-10,47.65937901,-122.28867422,A&R SOLAR
Single family,2015-09-08,47.68928881,-122.36376898,PUGETSOUNDSOLAR
Single family,2017-06-12,47.67762488,-122.35142949,PUGETSOUNDSOLAR
Single family,2017-04-19,47.54351614,-122.28056541,PUGETSOUNDSOLAR
Single family,2013-08-29,47.68454676,-122.36383407,PUGETSOUNDSOLAR
Single family,2014-04-24,47.5102221,-122.37892502,PUGETSOUNDSOLAR
Single family,2014-07-16,47.73072075,-122.33254038,NEIL KELLY CO
Single family,2015-09-22,47.58647408,-122.3914371,PUGETSOUNDSOLAR
