geoid,hu_own,hu_blt1970,hu_no_mor,hu_med_val,hu_ex_1000,edu,wh_race,hh_med_income,hh_gini_index,lihtc,hh_high_sf_own,hu_mwh,sol_instl,cluster
53033002400,0.44270462633451957,0.8298932384341637,0.1900355871886121,470600,0.4206405693950178,0.6877087508350034,0.8196392785571143,103917,0.4004,FALSE,0.37067545304777594,94.81730041679349,6.405693950177936,3
53033003800,0.4204081632653061,0.7397959183673469,0.2010204081632653,543100,0.4173469387755102,0.6041570438799077,0.8217090069284064,96310,0.4514,FALSE,0.34009546539379476,93.2729237164442,9.183673469387756,3
53033007402,0.1439911797133407,0.4738699007717751,0.017640573318632856,281300,0.13693495038588754,0.7309021113243762,0.6900191938579654,41842,0.4576,TRUE,0.1674542232722977,25.455723254835885,0.44101433296582143,2
53033009e3,0.15699922660479504,0.23279195668986852,0.030935808197989172,302100,0.14849187935034802,0.5077630822311673,0.4025301897642323,44571,0.4827,TRUE,0.15866510538641687,59.17462779263731,0.7733952049497294,2
53033009800,0.4286123032904149,0.7107296137339055,0.13333333333333333,459700,0.41316165951359085,0.6359026369168357,0.867864387134164,71705,0.413,FALSE,0.2907921462423832,62.80109588659861,5.436337625178827,1
53033011402,0.16827973774586324,0.43490477677177647,0.06369029035279425,251700,0.15235716515766468,0.46242905788876276,0.5627695800227015,47701,0.4386,FALSE,0.12132752992383025,65.41477868397854,0.9366219169528568,2
53033009600,0.3183328299607369,0.5022651766837813,0.10027182120205376,621100,0.3542736333434008,0.7083489329839011,0.8266566828903033,77808,0.4511,FALSE,0.30622188905547226,97.59820048552835,5.738447598912715,1
53033010200,0.5268919562113279,0.7915278438838649,0.17229890528319847,445000,0.5702046644455021,0.6154519588531407,0.647625300941125,84324,0.4651,FALSE,0.3190348525469169,91.77171809855962,14.754878629224178,3
53033010300,0.269330565646082,0.4753502854177478,0.05552672548002076,356900,0.25739491437467565,0.5118505729084916,0.44074713545754196,57750,0.43,FALSE,0.15966386554621848,62.58378930079828,10.119356512714063,1
53033010401,0.39194554736245035,0.5275099262620533,0.22972206466250708,347400,0.38060124787294386,0.3903629802589684,0.1555932922946296,60682,0.4136,FALSE,0.22116788321167882,64.28759622815774,6.239364719228588,1
53033011001,0.10685085988159007,0.09500986749365661,0.049901325063433886,290600,0.0989568649563011,0.30008110300081103,0.1599756690997567,29286,0.5214,TRUE,0.10585305105853052,69.0809881464628,1.40964195094446,2
53033011102,0.23845007451564829,0.45305514157973176,0.084575260804769,437400,0.242548435171386,0.3853877376628925,0.4819483016449477,61901,0.4421,FALSE,0.21606648199445982,98.19799181007646,3.7257824143070044,1
53033011500,0.457220461747397,0.8089633318243549,0.13852421910366683,350500,0.435038478949751,0.5844308560677328,0.7598777046095955,75123,0.3961,FALSE,0.2755369303300157,49.969498071021434,4.979628791308285,1
53033011800,0.1777988614800759,0.3747628083491461,0.06261859582542695,344900,0.16698292220113853,0.3364544319600499,0.34344569288389515,38846,0.517,TRUE,0.13751375137513752,88.5741450746243,2.656546489563567,2
