PERMIT YEAR,Class,PROJECT DESCRIPTION,FINALED DATE,CONTRACTOR,TOTAL PAID,SUBAREA,NEIGHBORHOOD AREA,Lat,Lon
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charger Install,2011-06-27,PRIME ELECTRIC INC,98,Newcastle,Cougar Mountain / Lakemont,47.53886,-122.114901
2017,Single family,Vehicle charging station,2017-05-03,NORTHWEST ELECTRIC & SOLAR,112,Southwest Bellevue,West Bellevue,47.608714,-122.193984
2015,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2015-04-15,NORTHWEST ELECTRIC & SOLAR,108,Southwest Bellevue,West Bellevue,47.600252,-122.206609
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-02-03,24/7 ELECTRICAL COMPANY,112,Crossroads,Northeast Bellevue,47.635982,-122.123136
2016,Single family,Vehicle charging station,2016-10-27,NORTHWEST ELECTRIC & SOLAR,110,Newcastle,Cougar Mountain / Lakemont,47.564384,-122.107095
2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Added or Altered Branch Circuits), Garage (SE#328795), Add circuit for Tesla EV Charging",2014-08-18,SEAHURST ELECTRIC INC,58,Wilburton/ne 8th St,Crossroads,47.619463,-122.14888
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-10-05,PUGET SOUND SOLAR LLC,108,Newcastle,Cougar Mountain / Lakemont,47.560596,-122.120342
2015,Single family,"A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station), Garage",2017-01-17,G-TEK INC,108,Richards Valley,Woodridge,47.597376,-122.177695
2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Garage, Install 40a circuit fora EV Charger",2017-01-12,Illuminate Contracting LLC,108,North Bellevue,Northwest Bellevue,47.643883,-122.189902
2016,Single family,Vehicle Charging Station,2016-10-20,NORTHWEST ELECTRIC & SOLAR,110,Newcastle,Eastgate,47.567573,-122.11172
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-01-23,ELECTRI-CITY INC,110,Newcastle,Cougar Mountain / Lakemont,47.551016,-122.115658
2014,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2014-04-28,NORTHWEST ELECTRIC & SOLAR,106,Factoria,Factoria,47.573925,-122.164992
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-12-03,FULLER ELECTRIC INC,115,Southeast Bellevue,Lake Hills,47.601112,-122.118009
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-04-04,ELECTRI-CITY INC,112,Newcastle,Cougar Mountain / Lakemont,47.536831,-122.11106
2013,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station},2013-02-06,PUGET SOUND SOLAR LLC JEREMY JAMES SMITHSON,105,North Bellevue,Northwest Bellevue,47.621085,-122.199863
2016,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Corner of house to parking stall west end of property for charging station. WP outlet SW of home for fountain. Add Belkin light switch at front door.",2016-08-17,ELECTRI-CITY INC,110,Southeast Bellevue,West Lake Sammamish,47.5992,-122.110619
