y,instal,rad,tech,year,innovation,imitation
1,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,2,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,3,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,2,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,2,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,2,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,2,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,4,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,3,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,4,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,3,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,2,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,2,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,2,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,3,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,2,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,2,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,3,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,2,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,1,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,3,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,4,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
0,0,0.006,EV,2012,0.052202744171281436,0.01551973475362421
1,1,0.005,EV,2012,0.052202744171281436,0.01551973475362421
1,1,0.005,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.005,EV,2012,0.052202744171281436,0.01551973475362421
1,1,0.005,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.005,EV,2012,0.052202744171281436,0.01551973475362421
1,2,0.005,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.005,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.005,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.005,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.005,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.005,EV,2012,0.052202744171281436,0.01551973475362421
1,2,0.005,EV,2012,0.052202744171281436,0.01551973475362421
1,0,0.005,EV,2012,0.052202744171281436,0.01551973475362421
