y,instal,rad,tech,year,innovation,imitation
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,8,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,2,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,2,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,5,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,5,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,6,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,5,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,6,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,4,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,4,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,5,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,6,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,7,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,3,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,8,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,2,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,3,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,4,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,3,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,2,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,4,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,7,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,5,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,5,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,4,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,2,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,6,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,2,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,2,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,5,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,7,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,6,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,2,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,3,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,4,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,2,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,3,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,5,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,3,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,2,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,5,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,8,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,5,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,8,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,2,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,3,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,2,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,3,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,3,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,9,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,5,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,3,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,3,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,2,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,4,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,7,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,3,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,8,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,7,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,12,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,8,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,2,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,4,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,3,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,4,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,5,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,1,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,2,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,8,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,0,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,4,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,2,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,3,0.006,PV,2012,0.12521604176219533,0.0772459525237205
1,3,0.006,PV,2012,0.12521604176219533,0.0772459525237205
